id,object_name,chain,object_type,address,number,street,district
157577,Кафе «Три правила»,False,кафе,"город Москва, Большая Тульская улица, дом 13",26,Большая Тульская улица,Даниловский
102079,KFC,True,фастфуд,"город Москва, Большая Тульская улица, дом 13",15,Большая Тульская улица,Даниловский
102151,Ванвок,True,кафе,"город Москва, Большая Тульская улица, дом 13",15,Большая Тульская улица,Даниловский
121357,Кафе «Икта»,False,кафе,"город Москва, Ступинский проезд, владение 1Б",36,Ступинский проезд,Бирюлёво Западное
28149,САПФИР 1,False,столовая,"город Москва, Варшавское шоссе, дом 127",500,Варшавское шоссе,Чертаново Центральное
81075,Столовая «ГринЛондон»,False,столовая,"город Москва, 2-й Котляковский переулок, дом 1, строение 99",48,2-й Котляковский переулок,Москворечье-Сабурово
142859,Fan Zone,False,закусочная,"город Москва, Кировоградская улица, дом 24А",56,Кировоградская улица,Чертаново Центральное
138152,Якитория,True,ресторан,"город Москва, Кировоградская улица, дом 24А",60,Кировоградская улица,Чертаново Центральное
127050,KFC,True,фастфуд,"город Москва, улица Красного Маяка, дом 2Б",20,улица Красного Маяка,Чертаново Центральное
60482,Макдоналдс,True,фастфуд,"город Москва, улица Красного Маяка, дом 2Б",40,улица Красного Маяка,Чертаново Центральное
60475,Кафе Султан,False,кафе,"город Москва, улица Красного Маяка, дом 2Б",40,улица Красного Маяка,Чертаново Центральное
60491,Донер Кебаб Сели Поели,False,кафе,"город Москва, улица Красного Маяка, дом 2Б",50,улица Красного Маяка,Чертаново Центральное
60430,Сварня,True,ресторан,"город Москва, улица Красного Маяка, дом 2Б",70,улица Красного Маяка,Чертаново Центральное
22160,Грузинский дворик,False,ресторан,"город Москва, улица Красного Маяка, дом 2Б",40,улица Красного Маяка,Чертаново Центральное
24576,Теремок,True,кафе,"город Москва, улица Красного Маяка, дом 2Б",40,улица Красного Маяка,Чертаново Центральное
157008,Караоке-бар LOFT,False,бар,"город Москва, Варшавское шоссе, дом 71, корпус 3",60,Варшавское шоссе,Нагорный
26946,Ресторан GRUT,False,кафе,"город Москва, Шипиловская улица, дом 28А",36,Шипиловская улица,Орехово-Борисово Северное
150035,Выпечка,False,закусочная,"город Москва, Касимовская улица, дом 22А",2,Касимовская улица,Бирюлёво Восточное
151017,Шаурма,False,фастфуд,"город Москва, Дорожная улица, дом 30",0,Дорожная улица,Чертаново Южное
24830,Кафе «Ильинка»,False,кафе,"город Москва, Булатниковский проезд, дом 7",24,Булатниковский проезд,Бирюлёво Западное
72650,Кафе «Фирма»,False,кафе,"город Москва, Новоданиловская набережная, дом 10",60,Новоданиловская набережная,Донской
28953,ЗАГОРЬЕ ГОУ СОШ 1426,False,столовая,"город Москва, Загорьевская улица, дом 31",70,Загорьевская улица,Бирюлёво Восточное
70046,Теремок,True,фастфуд,"город Москва, Ореховый бульвар, дом 22А",25,Ореховый бульвар,Зябликово
85825,Макдоналдс,True,фастфуд,"город Москва, Ореховый бульвар, дом 22А",10,Ореховый бульвар,Зябликово
131159,Бургер Кинг,True,фастфуд,"город Москва, Ореховый бульвар, дом 22А",46,Ореховый бульвар,Зябликово
27307,Ресторан «Иль Патио»,True,кафе,"город Москва, Ореховый бульвар, дом 22А",30,Ореховый бульвар,Зябликово
27308,МАКИ-МАКИ,True,ресторан,"город Москва, Ореховый бульвар, дом 22А",80,Ореховый бульвар,Зябликово
27541,Столовая «Школа 639»,False,столовая,"город Москва, улица Стасовой, дом 8",98,улица Стасовой,Донской
24552,Мидл Ист,False,кафе,"город Москва, проспект Андропова, дом 8",8,проспект Андропова,Даниловский
84358,Шоколадница,True,кафе,"город Москва, проспект Андропова, дом 8",25,проспект Андропова,Даниловский
85317,KFC,True,фастфуд,"город Москва, проспект Андропова, дом 8",15,проспект Андропова,Даниловский
85319,Фридом,False,фастфуд,"город Москва, проспект Андропова, дом 8",15,проспект Андропова,Даниловский
